index,customer_city,order_purchase_timestamp,total_sales_x,total_revenue,total_sales_y
188,agua doce do norte,2017-04-05,1,99.0,1
189,agua doce do norte,2018-01-08,2,119.98,2
190,agua doce do norte,2018-04-09,1,129.0,1
191,agua doce do norte,2018-07-11,1,17.5,1
192,agua fria de goias,2017-12-18,1,152.0,1
193,agua limpa,2018-03-16,1,388.0,1
194,agua nova,2017-08-24,1,42.0,1
195,agua preta,2017-09-14,1,129.99,1
196,agua santa,2017-07-23,1,64.9,1
197,agua santa,2018-01-10,1,99.0,1
198,aguai,2017-08-18,3,171.0,3
199,aguai,2017-10-17,3,88.5,3
200,aguai,2017-10-18,2,109.8,2
201,aguai,2017-11-15,1,1038.0,1
202,aguai,2018-01-25,2,163.98,2
203,aguai,2018-02-13,1,19.9,1
204,aguai,2018-04-08,1,144.0,1
205,aguai,2018-05-20,1,44.9,1
206,aguai,2018-07-21,4,205.47,4
207,aguas belas,2017-02-15,1,69.9,1
208,aguas belas,2017-08-16,1,34.99,1
209,aguas belas,2017-10-22,1,91.0,1
210,aguas belas,2017-11-14,2,98.0,2
211,aguas belas,2018-02-27,2,79.8,2
212,aguas belas,2018-08-15,1,396.18,1
213,aguas claras,2018-02-06,1,95.8,1
214,aguas da prata,2017-08-28,1,39.9,1
215,aguas da prata,2017-09-12,2,370.0,2
216,aguas da prata,2018-02-14,1,107.9,1
217,aguas da prata,2018-03-24,1,24.99,1
218,aguas da prata,2018-04-05,1,19.9,1
219,aguas da prata,2018-05-20,1,157.89,1
220,aguas da prata,2018-06-17,3,69.69999999999999,3
221,aguas da prata,2018-06-24,1,149.0,1
222,aguas da prata,2018-08-23,1,89.0,1
223,aguas de lindoia,2017-02-25,1,49.9,1
224,aguas de lindoia,2017-03-14,1,147.9,1
225,aguas de lindoia,2017-05-16,1,35.9,1
226,aguas de lindoia,2017-05-18,1,48.9,1
227,aguas de lindoia,2017-06-14,1,220.0,1
228,aguas de lindoia,2017-07-14,2,218.9,2
229,aguas de lindoia,2017-12-05,3,294.9,3
230,aguas de lindoia,2017-12-18,1,30.9,1
231,aguas de lindoia,2018-01-24,1,53.99,1
232,aguas de lindoia,2018-02-12,1,39.0,1
233,aguas de lindoia,2018-04-03,1,198.9,1
234,aguas de lindoia,2018-04-11,1,379.0,1
235,aguas de lindoia,2018-04-25,1,89.9,1
236,aguas de lindoia,2018-05-03,1,166.6,1
237,aguas de lindoia,2018-05-08,1,164.9,1
238,aguas de lindoia,2018-05-21,1,55.0,1
239,aguas de lindoia,2018-06-10,1,94.9,1
240,aguas de lindoia,2018-06-27,1,134.9,1
241,aguas de lindoia,2018-07-02,2,499.8,2
242,aguas de lindoia,2018-07-18,1,149.9,1
243,aguas de lindoia,2018-07-25,1,18.5,1
244,aguas de santa barbara,2017-02-13,1,22.0,1
245,aguas de santa barbara,2018-07-28,1,30.0,1
246,aguas de sao pedro,2017-07-02,1,229.0,1
247,aguas de sao pedro,2018-01-13,1,45.99,1
248,aguas formosas,2017-02-17,1,18.9,1
249,aguas formosas,2017-05-23,2,166.8,2
250,aguas formosas,2018-02-28,2,1058.0,2
251,aguas formosas,2018-08-23,1,98.0,1
252,aguas frias,2018-07-16,1,290.0,1
253,aguas lindas de goias,2017-03-31,1,42.9,1
254,aguas lindas de goias,2017-07-13,1,49.0,1
255,aguas lindas de goias,2017-07-15,1,19.99,1
256,aguas lindas de goias,2017-08-16,1,16.0,1
257,aguas lindas de goias,2017-09-13,2,79.8,2
258,aguas lindas de goias,2017-09-27,1,81.25,1
259,aguas lindas de goias,2017-12-19,1,166.99,1
260,aguas lindas de goias,2017-12-26,1,61.99,1
261,aguas lindas de goias,2018-02-03,1,99.99,1
262,aguas lindas de goias,2018-02-11,1,34.9,1
263,aguas lindas de goias,2018-03-10,1,151.9,1
264,aguas lindas de goias,2018-03-11,1,39.0,1
265,aguas lindas de goias,2018-04-16,1,189.9,1
266,aguas lindas de goias,2018-04-18,1,39.9,1
267,aguas lindas de goias,2018-05-03,2,216.0,2
268,aguas lindas de goias,2018-05-06,2,199.32000000000002,2
269,aguas lindas de goias,2018-05-11,1,135.0,1
270,aguas lindas de goias,2018-05-17,1,34.38,1
271,aguas lindas de goias,2018-07-03,1,14.9,1
272,aguas lindas de goias,2018-07-04,1,37.9,1
273,aguas lindas de goias,2018-08-01,1,229.0,1
274,aguas lindas de goias,2018-08-18,1,129.9,1
275,aguas mornas,2018-02-04,1,89.15,1
276,aguas vermelhas,2017-12-05,2,59.98,2
277,aguas vermelhas,2017-12-13,1,234.9,1
278,aguas vermelhas,2018-06-09,3,279.70000000000005,3
279,agudo,2017-06-19,1,17.0,1
280,agudos,2017-06-23,1,123.78,1
281,agudos,2017-08-01,2,54.8,2
282,agudos,2017-08-25,1,69.99,1
283,agudos,2017-10-24,1,69.0,1
284,agudos,2017-11-05,1,59.99,1
285,agudos,2017-11-19,1,24.99,1
286,agudos,2017-11-23,1,39.99,1
287,agudos,2017-12-06,1,68.0,1
288,agudos,2018-01-16,2,276.89,2
289,agudos,2018-04-22,1,46.99,1
290,agudos,2018-05-24,1,189.0,1
291,agudos,2018-06-15,1,14.99,1
292,agudos,2018-06-28,1,49.9,1
293,agudos,2018-07-05,1,70.0,1
294,agudos,2018-08-05,1,106.99,1
295,aguia branca,2018-03-20,1,12.9,1
296,aimores,2017-03-31,1,199.0,1
297,aimores,2017-06-24,1,99.99,1
298,aimores,2017-09-07,1,41.9,1
299,aimores,2017-11-27,1,27.99,1
300,aimores,2017-12-01,1,99.0,1
301,aimores,2018-01-25,1,143.0,1
302,aimores,2018-03-28,1,69.0,1
303,aimores,2018-06-01,1,99.49,1
304,aimores,2018-07-16,1,24.0,1
305,aimores,2018-08-19,1,148.0,1
306,aiuaba,2018-08-06,1,109.7,1
307,aiuruoca,2017-05-07,1,49.2,1
308,aiuruoca,2018-01-13,1,56.99,1
309,aiuruoca,2018-01-31,1,49.9,1
310,aiuruoca,2018-06-07,1,125.0,1
311,ajapi,2017-02-01,1,108.0,1
312,ajuricaba,2018-05-01,1,94.9,1
313,ajuricaba,2018-05-13,1,97.0,1
314,alagoa,2017-09-15,1,77.68,1
315,alagoa grande,2017-11-18,1,139.99,1
316,alagoa nova,2018-03-22,1,113.0,1
317,alagoinha,2017-10-14,1,239.0,1
318,alagoinha,2017-12-19,1,30.9,1
319,alagoinhas,2017-02-02,2,207.98,2
320,alagoinhas,2017-02-05,1,131.99,1
321,alagoinhas,2017-02-13,1,119.99,1
322,alagoinhas,2017-04-26,1,125.9,1
323,alagoinhas,2017-06-15,1,49.0,1
324,alagoinhas,2017-07-01,1,783.14,1
325,alagoinhas,2017-07-11,1,270.0,1
326,alagoinhas,2017-07-21,1,329.9,1
327,alagoinhas,2017-08-02,1,39.9,1
328,alagoinhas,2017-08-14,1,89.9,1
329,alagoinhas,2017-08-26,1,129.9,1
330,alagoinhas,2017-08-27,2,58.0,2
331,alagoinhas,2017-09-20,1,94.0,1
332,alagoinhas,2017-10-25,1,243.0,1
333,alagoinhas,2017-11-25,1,419.0,1
334,alagoinhas,2017-12-02,1,107.9,1
335,alagoinhas,2017-12-04,1,59.0,1
336,alagoinhas,2018-01-26,1,23.99,1
337,alagoinhas,2018-01-28,1,27.99,1
338,alagoinhas,2018-03-05,2,146.5,2
339,alagoinhas,2018-03-07,1,88.0,1
340,alagoinhas,2018-04-04,1,149.0,1
341,alagoinhas,2018-05-07,1,49.9,1
342,alagoinhas,2018-05-12,1,23.7,1
343,alagoinhas,2018-05-14,1,229.99,1
344,alagoinhas,2018-05-15,1,64.99,1
345,alagoinhas,2018-05-27,1,169.0,1
346,alagoinhas,2018-07-03,1,544.99,1
347,alagoinhas,2018-07-04,1,124.9,1
348,alagoinhas,2018-07-14,1,31.5,1
349,alagoinhas,2018-07-27,1,290.0,1
350,alagoinhas,2018-07-31,1,170.0,1
351,alagoinhas,2018-08-02,3,192.79,3
352,alagoinhas,2018-08-03,2,370.0,2
353,alagoinhas,2018-08-04,1,25.0,1
354,alagoinhas,2018-08-06,1,129.49,1
355,alagoinhas,2018-08-21,1,139.0,1
356,alambari,2017-06-02,1,69.99,1
357,alambari,2018-07-03,1,19.99,1
358,alambari,2018-07-24,1,89.9,1
359,alcantara,2017-09-14,2,424.8,2
360,alcinopolis,2017-05-24,2,289.98,2
361,alcinopolis,2018-01-08,1,248.99,1
362,alcinopolis,2018-02-13,1,47.49,1
363,alcinopolis,2018-06-20,2,34.0,2
364,alcinopolis,2018-06-25,1,70.9,1
365,alcinopolis,2018-06-26,1,19.8,1
366,alcobaca,2017-09-15,1,299.99,1
367,alcobaca,2018-03-02,1,499.9,1
368,alcobaca,2018-08-16,1,79.99,1
369,alegre,2017-05-16,1,335.9,1
370,alegre,2017-06-18,1,79.0,1
371,alegre,2017-07-24,2,304.9,2
372,alegre,2017-08-08,1,149.9,1
373,alegre,2017-11-12,1,189.9,1
374,alegre,2017-11-26,1,116.9,1
375,alegre,2018-01-04,1,99.0,1
376,alegre,2018-01-31,1,160.0,1
377,alegre,2018-03-11,1,24.99,1
378,alegre,2018-03-16,1,949.9,1
379,alegre,2018-04-03,1,69.9,1
380,alegre,2018-04-30,1,119.0,1
381,alegre,2018-06-21,1,50.0,1
382,alegre,2018-06-26,2,139.8,2
383,alegre,2018-07-17,1,24.99,1
384,alegrete,2017-03-22,1,34.99,1
385,alegrete,2017-05-04,1,22.99,1
386,alegrete,2017-05-25,2,55.8,2
387,alegrete,2017-05-27,1,69.9,1
388,alegrete,2017-06-19,1,39.9,1
389,alegrete,2017-07-15,1,56.99,1
390,alegrete,2017-07-29,1,45.95,1
391,alegrete,2017-08-09,1,13.9,1
392,alegrete,2017-09-08,1,55.0,1
393,alegrete,2017-11-22,1,39.9,1
394,alegrete,2017-11-24,1,14.9,1
395,alegrete,2017-11-26,1,49.9,1
396,alegrete,2017-11-29,1,104.99,1
397,alegrete,2017-12-11,1,399.0,1
398,alegrete,2017-12-26,1,65.9,1
399,alegrete,2018-01-18,1,84.44,1
400,alegrete,2018-02-26,1,450.0,1
401,alegrete,2018-03-01,3,308.8,3
402,alegrete,2018-03-27,1,49.99,1
403,alegrete,2018-03-28,1,124.8,1
404,alegrete,2018-04-04,1,24.99,1
405,alegrete,2018-04-05,1,58.99,1
406,alegrete,2018-05-04,4,228.44,4
407,alegrete,2018-05-16,1,98.81,1
408,alegrete,2018-06-01,1,839.99,1
409,alegrete,2018-06-08,1,209.9,1
410,alegrete,2018-06-09,2,399.8,2
411,alegrete,2018-07-18,1,62.7,1
412,alegrete,2018-07-20,2,229.98000000000002,2
413,alegrete,2018-07-23,1,45.2,1
414,alegrete,2018-07-24,1,119.98,1
415,alegrete,2018-08-20,1,76.95,1
416,alegrete do piaui,2018-03-18,1,149.9,1
417,alegria,2018-08-02,1,39.9,1
418,alem paraiba,2016-10-04,1,69.9,1
419,alem paraiba,2017-02-07,1,119.99,1
420,alem paraiba,2017-02-21,1,159.9,1
421,alem paraiba,2017-03-04,1,79.5,1
422,alem paraiba,2017-04-28,1,199.96,1
423,alem paraiba,2017-06-10,1,59.9,1
424,alem paraiba,2017-08-09,1,166.9,1
425,alem paraiba,2017-09-12,1,45.95,1
426,alem paraiba,2017-10-11,1,19.9,1
427,alem paraiba,2017-10-12,1,149.99,1
428,alem paraiba,2017-11-19,1,59.9,1
429,alem paraiba,2017-11-22,1,59.9,1
430,alem paraiba,2017-12-08,1,49.9,1
431,alem paraiba,2017-12-30,1,259.9,1
432,alem paraiba,2018-01-17,1,58.0,1
433,alem paraiba,2018-03-07,1,35.0,1
434,alem paraiba,2018-03-23,1,23.0,1
435,alem paraiba,2018-04-01,1,95.9,1
436,alem paraiba,2018-05-02,1,38.99,1
437,alem paraiba,2018-05-08,1,539.0,1
438,alem paraiba,2018-05-21,1,74.99,1
439,alem paraiba,2018-05-29,1,45.0,1
440,alem paraiba,2018-06-04,1,24.99,1
441,alem paraiba,2018-06-18,1,60.0,1
442,alem paraiba,2018-07-03,2,71.8,2
443,alem paraiba,2018-07-16,1,197.5,1
444,alem paraiba,2018-07-25,1,32.9,1
445,alem paraiba,2018-08-12,1,72.0,1
446,alexandra,2018-07-21,1,31.9,1
447,alexandria,2017-07-20,1,109.9,1
448,alexandria,2018-06-04,1,49.9,1
449,alexandrita,2017-09-21,2,99.8,2
450,alexania,2017-03-09,2,113.98,2
451,alexania,2017-07-18,1,69.89,1
452,alexania,2018-01-29,1,215.0,1
453,alexania,2018-02-25,1,27.9,1
454,alexania,2018-06-09,1,39.9,1
455,alfenas,2017-04-04,1,119.99,1
456,alfenas,2017-04-20,1,39.99,1
457,alfenas,2017-04-30,1,95.92,1
458,alfenas,2017-05-15,1,109.9,1
459,alfenas,2017-07-31,1,89.99,1
460,alfenas,2017-08-13,2,39.98,2
461,alfenas,2017-09-02,2,21.8,2
462,alfenas,2017-09-12,2,119.8,2
463,alfenas,2017-09-20,1,45.9,1
464,alfenas,2017-09-28,1,42.9,1
465,alfenas,2017-11-04,1,159.0,1
466,alfenas,2017-11-05,1,65.9,1
467,alfenas,2017-11-09,1,42.9,1
468,alfenas,2017-12-04,1,399.99,1
469,alfenas,2017-12-16,1,33.6,1
470,alfenas,2017-12-20,1,139.99,1
471,alfenas,2017-12-28,1,144.99,1
472,alfenas,2018-01-11,1,599.65,1
473,alfenas,2018-01-26,1,49.9,1
474,alfenas,2018-01-31,1,220.0,1
475,alfenas,2018-02-08,5,399.68,5
476,alfenas,2018-02-12,2,137.23,2
477,alfenas,2018-03-06,1,176.99,1
478,alfenas,2018-03-08,2,123.8,2
479,alfenas,2018-03-13,2,376.89,2
480,alfenas,2018-04-17,1,130.0,1
481,alfenas,2018-04-24,1,367.9,1
482,alfenas,2018-05-17,1,30.0,1
483,alfenas,2018-05-20,1,30.0,1
484,alfenas,2018-05-21,1,19.33,1
485,alfenas,2018-06-03,2,76.0,2
486,alfenas,2018-06-04,1,109.0,1
487,alfenas,2018-06-14,1,82.0,1
488,alfenas,2018-06-21,1,89.9,1
489,alfenas,2018-07-07,1,64.99,1
490,alfenas,2018-07-15,1,49.9,1
491,alfenas,2018-07-20,1,79.99,1
492,alfenas,2018-07-28,1,45.0,1
493,alfenas,2018-08-14,1,99.9,1
494,alfenas,2018-08-16,1,50.75,1
495,alfredo chaves,2017-08-30,1,76.0,1
496,alfredo chaves,2017-11-20,1,105.6,1
497,alfredo chaves,2018-02-09,1,89.0,1
498,alfredo chaves,2018-02-27,1,169.99,1
499,alfredo chaves,2018-05-22,1,189.9,1
500,alfredo chaves,2018-06-03,1,249.9,1
501,alfredo chaves,2018-08-16,1,22.32,1
502,alfredo marcondes,2018-03-04,1,129.0,1
503,alfredo vasconcelos,2017-02-28,1,145.0,1
504,alfredo vasconcelos,2017-03-09,1,189.99,1
505,alfredo vasconcelos,2017-06-23,1,233.0,1
506,alfredo wagner,2017-11-23,1,34.9,1
507,alfredo wagner,2018-08-20,1,759.9,1
508,alhandra,2017-09-06,1,378.0,1
509,alhandra,2017-10-01,1,659.0,1
510,alianca,2017-03-16,1,64.99,1
511,alianca do tocantins,2018-01-08,1,84.99,1
512,alianca do tocantins,2018-04-02,2,77.8,2
513,almas,2017-04-20,2,78.0,2
514,almenara,2017-02-13,3,260.88,3
515,almenara,2017-02-23,1,59.9,1
516,almenara,2017-03-28,1,286.9,1
517,almenara,2017-05-02,1,169.9,1
518,almenara,2017-05-06,1,64.99,1
519,almenara,2017-05-19,1,21.99,1
520,almenara,2017-10-10,1,1437.0,1
521,almenara,2017-11-24,1,116.91,1
522,almenara,2018-01-31,1,117.9,1
523,almenara,2018-02-02,1,59.0,1
524,almenara,2018-02-24,1,29.9,1
525,almenara,2018-03-10,1,49.99,1
526,almenara,2018-08-10,1,166.9,1
527,almenara,2018-08-18,1,29.99,1
528,almino afonso,2017-10-16,1,299.9,1
529,almirante tamandare,2017-02-04,1,54.9,1
530,almirante tamandare,2017-02-05,1,19.99,1
531,almirante tamandare,2017-03-27,1,99.0,1
532,almirante tamandare,2017-06-03,1,109.9,1
533,almirante tamandare,2017-06-19,1,31.9,1
534,almirante tamandare,2017-07-18,1,229.99,1
535,almirante tamandare,2017-07-21,1,39.9,1
536,almirante tamandare,2017-07-22,1,35.4,1
537,almirante tamandare,2017-07-25,1,163.0,1
538,almirante tamandare,2017-08-22,1,49.9,1
539,almirante tamandare,2017-08-25,1,799.99,1
540,almirante tamandare,2017-09-15,1,139.0,1
541,almirante tamandare,2017-10-17,1,115.0,1
542,almirante tamandare,2017-10-20,1,196.99,1
543,almirante tamandare,2017-11-19,1,13.99,1
544,almirante tamandare,2017-11-20,1,14.9,1
545,almirante tamandare,2017-12-02,1,109.97,1
546,almirante tamandare,2017-12-05,1,92.9,1
547,almirante tamandare,2017-12-16,1,129.0,1
548,almirante tamandare,2018-01-06,1,229.99,1
549,almirante tamandare,2018-01-10,1,84.44,1
550,almirante tamandare,2018-01-20,1,39.0,1
551,almirante tamandare,2018-01-25,2,99.8,2
552,almirante tamandare,2018-02-15,1,49.9,1
553,almirante tamandare,2018-03-07,1,23.99,1
554,almirante tamandare,2018-03-15,1,149.9,1
555,almirante tamandare,2018-04-21,1,64.99,1
556,almirante tamandare,2018-04-25,1,34.99,1
557,almirante tamandare,2018-05-16,2,110.0,2
558,almirante tamandare,2018-05-21,1,25.0,1
559,almirante tamandare,2018-05-28,2,399.78,2
560,almirante tamandare,2018-07-16,1,99.0,1
561,almirante tamandare,2018-07-29,1,84.49,1
562,almirante tamandare,2018-07-30,1,134.9,1
563,almirante tamandare,2018-08-07,1,179.9,1
564,almirante tamandare do sul,2017-09-27,1,49.9,1
565,alpercata,2017-09-26,1,174.9,1
566,alpercata,2018-04-26,1,53.9,1
567,alpestre,2018-02-22,1,118.9,1
568,alpinopolis,2017-01-22,1,42.99,1
569,alpinopolis,2017-02-01,1,45.9,1
570,alpinopolis,2017-07-24,1,205.0,1
571,alpinopolis,2017-12-19,1,59.99,1
572,alpinopolis,2018-03-20,1,184.9,1
573,alpinopolis,2018-05-05,1,118.0,1
574,alpinopolis,2018-07-16,1,179.9,1
575,alta floresta,2017-02-06,1,239.99,1
576,alta floresta,2017-03-15,4,339.96,4
577,alta floresta,2017-08-24,1,139.9,1
578,alta floresta,2017-09-25,1,290.0,1
579,alta floresta,2017-09-27,1,789.9,1
580,alta floresta,2017-10-13,1,60.0,1
581,alta floresta,2017-11-03,1,15.0,1
582,alta floresta,2018-01-08,1,89.0,1
583,alta floresta,2018-01-14,1,129.0,1
584,alta floresta,2018-01-20,1,49.9,1
585,alta floresta,2018-01-25,1,1299.0,1
586,alta floresta,2018-04-14,1,53.9,1
587,alta floresta d'oeste,2017-06-03,1,349.99,1
588,alta floresta d'oeste,2018-01-29,1,180.0,1
589,alta floresta d'oeste,2018-05-22,1,139.9,1
590,altamira,2017-02-06,1,209.99,1
591,altamira,2017-03-23,1,725.0,1
592,altamira,2017-05-23,1,49.9,1
593,altamira,2017-07-13,1,119.99,1
594,altamira,2017-08-25,1,395.0,1
595,altamira,2017-11-02,2,159.8,2
596,altamira,2017-11-23,1,72.99,1
597,altamira,2017-12-06,1,87.5,1
598,altamira,2017-12-15,1,269.9,1
599,altamira,2018-01-23,1,37.99,1
600,altamira,2018-02-04,1,59.9,1
